mileage,date
222,25-Jan-02
532,27-Jan-02
653,27-Jan-02
894,28-Jan-02
1113,30-Jan-02
1416,8-Feb-02
1709,14-Feb-02
2026,22-Feb-02
2333,9-Mar-02
2650,20-Mar-02
2970,28-Mar-02
3055,4-Apr-02
3362,10-Apr-02
3519,13-Apr-02
3676,17-Apr-02
4002,4-May-02
4344,11-May-02
4662,29-May-02
4955,20-Jun-02
5098,21-Jun-02
5396,1-Jul-02
5696,9-Jul-02
5967,20-Jul-02
6238,12-Aug-02
6519,24-Aug-02
6818,6-Sep-02
7106,17-Sep-02
7389,24-Sep-02
7641,3-Oct-02
7859,10-Oct-02
8088,19-Oct-02
8344,29-Oct-02
8597,9-Nov-02
8861,24-Nov-02
9104,19-Dec-02
9161,20-Dec-02
9413,21-Dec-02
9561,21-Dec-02
9913,23-Dec-02
10088,27-Dec-02
10428,27-Dec-02
10726,3-Jan-03
10821,7-Jan-03
11084,16-Jan-03
11322,23-Jan-03
11500,6-Feb-03
11750,27-Feb-03
12001,23-Mar-03
12289,8-Apr-03
12603,20-Apr-03
12883,7-May-03
13192,19-May-03
13507,23-May-03
13826,31-May-03
14183,6-Jun-03
14458,23-Jun-03
14780,3-Jul-03
15000,10-Jul-03
15010,10-Jul-03
15318,12-Jul-03
15580,18-Jul-03
15633,24-Jul-03
15975,1-Aug-03
16351,1-Aug-03
16630,3-Aug-03
16946,3-Aug-03
17260,15-Aug-03
17586,26-Aug-03
17792,29-Aug-03
18099,1-Sep-03
18375,7-Sep-03
18475,8-Sep-03
18727,15-Sep-03
19056,25-Sep-03
19377,7-Oct-03
19676,17-Oct-03
19963,27-Oct-03
20273,5-Nov-03
20553,11-Nov-03
20874,19-Nov-03
21192,5-Dec-03
21475,15-Dec-03
21777,31-Dec-03
22056,1-Jan-04
22372,3-Jan-04
22565,12-Jan-04
22591,12-Jan-04
22867,24-Jan-04
23123,31-Jan-04
23457,9-Feb-04
23788,18-Feb-04
24098,27-Feb-04
24415,11-Mar-04
24748,20-Mar-04
25086,30-Mar-04
25344,6-Apr-04
25654,15-Apr-04
25993,27-Apr-04
26329,11-May-04
26602,23-May-04
26925,3-Jun-04
27243,12-Jun-04
27582,16-Jun-04
27878,22-Jun-04
28176,3-Jul-04
28493,17-Jul-04
28789,31-Jul-04
29088,10-Aug-04
29169,11-Aug-04
29370,18-Aug-04
29671,28-Aug-04
30022,4-Sep-04
30322,12-Sep-04
30391,13-Sep-04
30636,23-Sep-04
30943,6-Oct-04
31222,13-Oct-04
31504,20-Oct-04
31797,5-Nov-04
32118,18-Nov-04
32392,6-Dec-04
32700,16-Dec-04
33013,4-Jan-05
33588,29-Jan-05
33858,9-Feb-05
34159,24-Feb-05
34423,7-Mar-05
34702,16-Mar-05
35019,29-Mar-05
35326,7-Apr-05
35643,14-Apr-05
35934,26-Apr-05
36225,3-May-05
36250,4-May-05
36253,4-May-05
36572,12-May-05
36825,20-May-05
37159,30-May-05
37475,8-Jun-05
37782,22-Jun-05
38047,27-Jun-05
38297,6-Jul-05
38592,16-Jul-05
38859,25-Jul-05
39053,1-Aug-05
39308,9-Aug-05
39493,1-Sep-05
39823,15-Sep-05
40171,26-Sep-05
40476,7-Oct-05
40793,19-Oct-05
41109,31-Oct-05
41300,4-Nov-05
41631,13-Nov-05
41898,20-Nov-05
42247,2-Dec-05
42528,12-Dec-05
42789,20-Dec-05
42943,3-Jan-06
43261,13-Jan-06
43354,18-Jan-06
43611,24-Jan-06
43872,1-Feb-06
44186,10-Feb-06
44536,17-Feb-06
44901,19-Feb-06
45081,19-Feb-06
45315,25-Feb-06
45387,27-Feb-06
45622,8-Mar-06
45951,19-Mar-06
46231,26-Mar-06
46303,28-Mar-06
46580,4-Apr-06
46716,10-Apr-06
46784,11-Apr-06
47109,23-Apr-06
47406,2-May-06
47672,9-May-06
47982,20-May-06
48286,26-May-06
48660,29-May-06
48760,29-May-06
49083,6-Jun-06
49416,13-Jun-06
49750,26-Jun-06
50016,17-Jul-06
50265,27-Jul-06
50291,29-Jul-06
50581,6-Aug-06
50817,17-Aug-06
51106,20-Aug-06
51447,23-Aug-06
51524,25-Aug-06
51750,1-Sep-06
51917,5-Sep-06
52151,13-Sep-06
52447,26-Sep-06
52771,4-Oct-06
53075,8-Oct-06
53397,13-Oct-06
53666,20-Oct-06
53890,27-Oct-06
54209,4-Nov-06
54425,4-Nov-06
54667,14-Nov-06
54979,28-Nov-06
55238,8-Dec-06
55520,19-Dec-06
55790,4-Jan-07
56109,15-Jan-07
56369,26-Jan-07
56657,31-Jan-07
56902,14-Feb-07
57190,16-Feb-07
57518,21-Feb-07
57793,6-Mar-07
57895,10-Mar-07
58079,16-Mar-07
58370,29-Mar-07
58652,13-Apr-07
58958,22-Apr-07
59252,30-Apr-07
59575,7-May-07
59894,16-May-07
59894,16-May-07
59896,17-May-07
60139,24-May-07
60151,28-May-07
60508,29-May-07
60714,29-May-07
61103,30-May-07
61443,30-May-07
61753,31-May-07
62087,1-Jun-07
62147,1-Jun-07
62476,2-Jun-07
62739,16-Jun-07
63068,24-Jun-07
63397,13-Jul-07
63736,30-Jul-07
63843,6-Aug-07
64059,8-Aug-07
64333,10-Aug-07
64530,11-Aug-07
64660,12-Aug-07
64999,20-Aug-07
65346,3-Sep-07
65374,4-Sep-07
65665,17-Sep-07
66422,9-Oct-07
66742,29-Oct-07
66918,8-Nov-07
67258,9-Nov-07
67529,11-Nov-07
67844,16-Nov-07
68156,17-Nov-07
68378,17-Nov-07
68681,18-Nov-07
69025,19-Nov-07
69285,19-Nov-07
69575,24-Nov-07
69949,24-Nov-07
69954,24-Nov-07
70174,26-Nov-07
70309,30-Nov-07
70610,11-Dec-07
70857,16-Dec-07
71140,4-Jan-08
71453,13-Jan-08
71754,23-Jan-08
72052,1-Feb-08
72266,7-Feb-08
72587,18-Feb-08
72871,20-Feb-08
73201,3-Mar-08
73424,8-Mar-08
73503,11-Mar-08
73786,19-Mar-08
74082,26-Mar-08
74390,3-Apr-08
74641,7-Apr-08
74975,20-Apr-08
75104,20-Apr-08
75422,27-Apr-08
75753,6-May-08
76082,13-May-08
76398,20-May-08
76747,27-May-08
77095,4-Jun-08
77433,12-Jun-08
77613,18-Jun-08
77877,24-Jun-08
78017,27-Jun-08
78152,27-Jun-08
78390,29-Jun-08
78566,3-Jul-08
78881,11-Jul-08
79126,20-Jul-08
79139,21-Jul-08
79258,30-Jul-08
79547,8-Aug-08
79896,16-Aug-08
80202,22-Aug-08
80426,29-Aug-08
80452,30-Aug-08
80612,1-Sep-08
80953,10-Sep-08
81202,17-Sep-08
81409,24-Sep-08
81646,28-Sep-08
81814,2-Oct-08
82175,4-Oct-08
82528,12-Oct-08
82836,22-Oct-08
83133,30-Oct-08
83311,6-Nov-08
83557,20-Nov-08
83790,4-Dec-08
84000,13-Dec-08
84235,15-Dec-08
84484,3-Jan-09
84519,5-Jan-09
84792,15-Jan-09
85078,24-Jan-09
85375,4-Feb-09
85695,13-Feb-09
85699,16-Feb-09
85853,21-Feb-09
85853,21-Feb-09
85952,26-Feb-09
86161,7-Mar-09
86161,7-Mar-09
86263,10-Mar-09
86531,19-Mar-09
86636,21-Mar-09
86760,26-Mar-09
86954,2-Apr-09
87231,9-Apr-09
87524,17-Apr-09
87732,23-Apr-09
87970,29-Apr-09
88132,7-May-09
88295,14-May-09
88446,20-May-09
88710,28-May-09
88981,4-Jun-09
89285,13-Jun-09
89550,18-Jun-09
89665,25-Jun-09
89941,29-Jun-09
89984,30-Jun-09
90245,9-Jul-09
90568,29-Jul-09
90890,5-Aug-09
91275,13-Aug-09
91545,25-Aug-09
91605,26-Aug-09
92172,31-Aug-09
92226,2-Sep-09
92584,9-Sep-09
92629,10-Sep-09
92858,16-Sep-09
93117,23-Sep-09
93262,25-Sep-09
93410,1-Oct-09
93733,9-Oct-09
94004,15-Oct-09
94315,23-Oct-09
94321,23-Oct-09
94418,29-Oct-09
94641,5-Nov-09
94873,12-Nov-09
95181,19-Nov-09
95522,2-Dec-09
95538,3-Dec-09
95813,10-Dec-09
96014,17-Dec-09
96509,3-Jan-10
96767,7-Jan-10
97078,12-Jan-10
97397,16-Jan-10
97695,21-Jan-10
97877,28-Jan-10
98105,4-Feb-10
98317,18-Feb-10
98570,25-Feb-10
98785,4-Mar-10
99000,12-Mar-10
99241,15-Mar-10
99360,18-Mar-10
99667,27-Mar-10
99900,1-Apr-10
100115,8-Apr-10
100331,15-Apr-10
100596,21-Apr-10
100929,3-May-10
101052,5-May-10
101314,13-May-10
101632,20-May-10
101904,16-Jun-10
102160,23-Jun-10
102357,30-Jun-10
102702,8-Jul-10
102961,14-Jul-10
103290,21-Jul-10
103633,28-Jul-10
103934,11-Aug-10
104290,17-Aug-10
104599,23-Aug-10
104656,25-Aug-10
104900,31-Aug-10
105248,6-Sep-10
105335,8-Sep-10
105664,14-Sep-10
105690,15-Sep-10
105834,22-Sep-10
106211,6-Oct-10
106776,14-Oct-10
107181,17-Oct-10
107586,22-Oct-10
107760,28-Oct-10
108043,4-Nov-10
108345,16-Nov-10
108669,1-Dec-10
108913,9-Dec-10
109174,17-Dec-10
109524,29-Dec-10
109544,30-Dec-10
109894,1-Jan-11
110241,5-Jan-11
110532,12-Jan-11
111210,26-Jan-11
111455,5-Feb-11
111793,11-Feb-11
112129,18-Feb-11
112465,23-Feb-11
112808,1-Mar-11
113115,7-Mar-11
113290,10-Mar-11
113504,16-Mar-11
113808,26-Mar-11
114052,2-Apr-11
114296,7-Apr-11
114577,12-Apr-11
114858,18-Apr-11
115177,26-Apr-11
115543,5-May-11
115799,10-May-11
116147,18-May-11
116435,26-May-11
116723,29-May-11
117024,3-Jun-11
117277,10-Jun-11
117657,14-Jun-11